id,predicted_label,rationale
2,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
3,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
7,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
15,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
16,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
21,1,"Ensemble-v1 | score=0.60 | votes={'P1_RAG': 0, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
22,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
24,1,"Ensemble-v1 | score=0.60 | votes={'P1_RAG': 0, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
27,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
28,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
30,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
33,1,"Ensemble-v1 | score=0.60 | votes={'P1_RAG': 0, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
37,1,"Ensemble-v1 | score=0.60 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 0} | tuned_k=8"
38,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
42,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
44,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
47,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
49,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
51,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
52,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
53,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
56,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
