id,predicted_label,rationale
101,1,101_claim_1:NEUTRAL
103,0,103_claim_1:CONTRADICT
110,0,110_claim_1:CONTRADICT
111,0,111_claim_1:CONTRADICT
114,1,114_claim_1:SUPPORT
115,0,115_claim_1:CONTRADICT
119,1,119_claim_1:SUPPORT
121,0,121_claim_1:CONTRADICT
124,0,124_claim_1:CONTRADICT
127,0,127_claim_1:CONTRADICT
129,0,129_claim_1:CONTRADICT
131,1,131_claim_1:SUPPORT
132,1,132_claim_1:SUPPORT
133,0,133_claim_1:CONTRADICT
135,0,135_claim_1:CONTRADICT
136,0,136_claim_1:CONTRADICT
140,0,140_claim_1:CONTRADICT
15,0,15_claim_1:CONTRADICT
16,1,16_claim_1:SUPPORT
2,0,2_claim_1:CONTRADICT
21,1,21_claim_1:SUPPORT
22,0,22_claim_1:CONTRADICT
24,1,24_claim_1:SUPPORT
27,1,27_claim_1:SUPPORT
28,0,28_claim_1:CONTRADICT
3,0,3_claim_1:CONTRADICT
30,0,30_claim_1:CONTRADICT
33,1,33_claim_1:SUPPORT
37,1,37_claim_1:SUPPORT
38,0,38_claim_1:CONTRADICT
42,0,42_claim_1:CONTRADICT
44,0,44_claim_1:CONTRADICT
47,0,47_claim_1:CONTRADICT
49,1,49_claim_1:SUPPORT
51,0,51_claim_1:CONTRADICT
52,1,52_claim_1:SUPPORT
53,0,53_claim_1:CONTRADICT
56,0,56_claim_1:CONTRADICT
58,0,58_claim_1:CONTRADICT
59,1,59_claim_1:NEUTRAL
60,0,60_claim_1:CONTRADICT
61,0,61_claim_1:CONTRADICT
64,1,64_claim_1:SUPPORT
7,1,7_claim_1:NEUTRAL
70,0,70_claim_1:CONTRADICT
72,1,72_claim_1:SUPPORT
75,0,"75_claim_1:CONTRADICT, 75_claim_2:NEUTRAL"
77,0,77_claim_1:CONTRADICT
78,0,"78_claim_1:SUPPORT, 78_claim_2:CONTRADICT"
80,0,80_claim_1:CONTRADICT
81,0,"81_claim_2:CONTRADICT, 81_claim_1:SUPPORT"
82,0,82_claim_1:CONTRADICT
85,0,85_claim_1:CONTRADICT
86,0,86_claim_1:CONTRADICT
87,0,87_claim_1:CONTRADICT
91,0,91_claim_1:CONTRADICT
93,0,93_claim_1:CONTRADICT
94,0,94_claim_1:CONTRADICT
95,0,95_claim_1:CONTRADICT
97,0,97_claim_1:CONTRADICT
